Date,city,state_id,Venue,Rating,Level,state_name,county_name,lat,lng,population,density,source,zips,id
"November 4, 2018",Macon,GA,Middle Georgia Regional Airport,Positive,3,Georgia,Bibb,32.8065,-83.6974,152663.0,236.0,polygon,31206 31052 31210 31211 31213 31216 31217 31207 31204 31201 31220 31202 31203 31205 31208 31209 31221 31294 31295 31296 31297,1840118757
"November 4, 2018",Chattanooga,TN,McKenzie Arena,Positive,23,Tennessee,Hamilton,35.0657,-85.2487,407182.0,483.0,polygon,37415 37416 37410 37411 37419 37409 37421 37363 37408 37403 37402 37407 37405 37406 37404 37343 37351 37350 37401 37414 37424 37450,1840084599
"November 5, 2018",Cleveland,OH,I-X Center,Neutral,0,Ohio,Cuyahoga,41.4767,-81.6805,1730363.0,1915.0,polygon,44135 44128 44119 44113 44112 44111 44110 44115 44114 44144 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,1840068744
"November 5, 2018",Fort Wayne,IN,Allen County War Memorial Coliseum,Positive,7,Indiana,Allen,41.0885,-85.1436,328564.0,928.0,polygon,46835 46845 46818 46814 46815 46816 46803 46802 46807 46806 46805 46804 46809 46808 46825 46801 46850 46851 46852 46853 46854 46855 46856 46857 46858 46859 46860 46861 46862 46863 46864 46865 46866 46867 46868 46869 46885 46895 46897,1840022405
"November 5, 2018",Cape Girardeau,MO,Show Me Center,Positive,10,Missouri,Cape Girardeau,37.3108,-89.5596,54588.0,521.0,polygon,63703 63701,1840047502
"November 26, 2018",Tupelo,MS,Tupelo Regional Airport,Positive,17,Mississippi,Lee,34.2691,-88.7318,45231.0,228.0,polygon,38804 38801 38826 38802 38803,1840044890
"November 26, 2018",Biloxi,MS,Mississippi Coast Coliseum,Positive,17,Mississippi,Harrison,30.4422,-88.9512,45908.0,412.0,polygon,39531 39530 39532 39534 39533 39535,1840043994
"February 11, 2019",El Paso,TX,El Paso County Coliseum,Positive,3,Texas,El Paso,31.8479,-106.4309,845674.0,1025.0,polygon,79901 79902 79903 79904 79905 79906 79907 79930 79932 79935 79934 79936 79912 79911 79835 79922 79920 79927 79924 79925 79915 79910 79913 79914 79917 79923 79926 79931 79937 79940 79941 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79958 79960 79961 79968 79976 79978 79980 79995 79996 79997 79998 79999 88540 88541 88542 88543 88544 88545 88546 88547 88548 88549 88550 88553 88554 88555 88556 88557 88558 88559 88560 88561 88562 88563 88565 88566 88567 88568 88569 88570 88571 88572 88573 88574 88575 88576 88577 88578 88579 88580 88581 88582 88583 88584 88585 88586 88588 88590 88595,1840089685
"March 28, 2019",Grand Rapids,MI,Van Andel Arena,Negative,-12,Michigan,Kent,42.9615,-85.6557,602694.0,1727.0,polygon,49546 49507 49506 49505 49504 49503 49508 49501 49502 49514 49515 49523 49555 49588 49599,1840041233
"April 27, 2019",Green Bay,WI,Resch Center,Negative,-13,Wisconsin,Brown,44.515,-87.9896,208625.0,892.0,polygon,54311 54302 54304 54303 54301 54305 54306 54308,1840101423
